School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
Northern Illinois,Huskies,Convocation Center,#c8102e,#000000,41.9354,-88.7856,362,10000,1129
Washington,Huskies,Alaska Airlines Arena at Hec Edmundson Pavilion,#33006f,#e8d3a2,47.661,-122.3177,362,10000,7162
Texas State,Bobcats,Strahan Arena,#501214,#6a5638,29.8885,-97.9324,362,10000,1767
North Texas,Mean Green,UNT Coliseum,#068f33,#ffffff,33.2099,-97.1515,362,9797,3448
Green Bay,Phoenix,Resch Center,#006633,#ffffff,44.4995,-88.055,362,9729,2055
Florida A&M,Rattlers,Al Lawson Center,#F89728,#00843d,30.4422,-84.2975,362,9639,1158
Wright State,Raiders,Nutter Center,#cba052,#cba052,39.7821,-84.0523,362,9500,3562
Ole Miss,Rebels,The Sandy and John Black Pavilion at Ole Miss,#13294b,#cf142b,34.3665,-89.53,362,9500,7980
Massachusetts,Minutemen,Mullins Center,#881c1c,#ffffff,42.3895,-72.5334,362,9493,3164
UCF,Knights,Addition Financial Arena,#000000,#b4a169,28.6073,-81.1973,362,9432,6830
Northern Kentucky,Norse,Truist Arena,#ffc82e,#000000,39.032,-84.4591,362,9400,2099
Duke,Blue Devils,Cameron Indoor Stadium,#00539b,#ffffff,35.9974,-78.9423,362,9314,9314
Oregon State,Beavers,Gill Coliseum,#dc4405,#000000,44.5613,-123.2806,362,9301,3024
Tennessee Tech,Golden Eagles,Hooper Eblen Center,#5A4099,#ffde00,36.1784,-85.5098,362,9280,981
Notre Dame,Fighting Irish,Purcell Pavilion at Edmund P. Joyce Center,#062340,#c99700,41.7046,-86.2382,362,9149,5307
Auburn,Tigers,Neville Arena,#002b5c,#f26522,32.592,-85.496,362,9121,8078
Charlotte,49ers,Dale F. Halton Arena,#005035,#a49665,35.3065,-80.735,362,9105,2668
Tennessee State,Tigers,Gentry Complex,#171796,#f0f0f0,36.1692,-86.8291,362,9100,543
Butler,Bulldogs,Hinkle Fieldhouse,#0d1361,#00a3e0,39.8436,-86.1674,362,9100,7234
Marshall,Thundering Herd,Cam Henderson Center,#00b140,#000000,38.4245,-82.4251,362,9048,3994
Clemson,Tigers,Littlejohn Coliseum,#f56600,#ffffff,34.6687,-82.8374,362,9000,7468
New Orleans,Privateers,Lakefront Arena,#005da6,#a2a9ae,30.0301,-90.0505,362,8933,722
Eastern Michigan,Eagles,George Gervin GameAbove Center,#006938,#ffffff,42.2543,-83.6474,362,8824,2058
Penn,Quakers,Palestra,#082A74,#a6163d,39.9514,-75.1886,362,8722,1860
Boston College,Eagles,Conte Forum,#8c2232,#dbcca6,42.3354,-71.1683,362,8606,4122
Murray State,Racers,CFSB Center,#002148,#000e00,36.6227,-88.3199,362,8602,5233
Georgia Tech,Yellow Jackets,Hank McCamish Pavilion,#b3a369,#ffffff,33.7761,-84.3988,362,8600,5409
UAB,Blazers,Bartow Arena,#1a5632,#fdb913,33.5021,-86.8092,362,8508,3660
TCU,Horned Frogs,Schollmaier Arena,#4d1979,#ffffff,32.7088,-97.3667,362,8500,5321
James Madison,Dukes,Atlantic Union Bank Center,#450084,#cbb677,38.4305,-78.8596,362,8500,3412
Old Dominion,Monarchs,Chartway Arena,#003768,#a1d2f1,36.8841,-76.3014,362,8472,5202
Tulsa,Golden Hurricane,Reynolds Center,#003595,#d0b787,36.149,-95.9422,362,8355,3287
Appalachian State,Mountaineers,George M. Holmes Convocation Center,#173f35,#ffffff,36.2107,-81.6759,362,8325,1956
Southern Illinois,Salukis,Banterra Center,#85283D,#c2c3c0,37.7083,-89.2187,362,8284,3983
Texas Southern,Tigers,Health and Physical Education Arena,#860038,#ffffff,29.7209,-95.3596,362,8100,1225
Southern Miss,Golden Eagles,Reed Green Coliseum,#ffc72c,#231f20,31.331,-89.3379,362,8095,2770
Colorado State,Rams,Moby Arena,#004c23,#c8c372,40.5757,-105.0932,362,8083,5392
Texas A&M-Corpus Christi,Aggies,American Bank Center Arena,#0067c5,#007f3e,27.7635,-97.4033,362,8000,1397
Idaho State,Bengals,ICCU Dome,#ef8c00,#e9a126,42.87,-112.4286,362,8000,1294
Tarleton State,Texans,EECU Center,#000000,##000000,32.2131,-98.2223,362,8000,1615
Jackson State,Tigers,Williams Assembly Center,#123297,#b5b7ba,32.2997,-90.2119,362,8000,1069
East Carolina,Pirates,Williams Arena at Minges Coliseum,#582c83,#ffc72c,35.6329,-77.4853,362,8000,3365
Rutgers,Scarlet Knights,Jersey Mike's Arena,#ce0e2d,#ffffff,40.5252,-74.4414,362,8000,8000
Louisiana Tech,Bulldogs,Thomas Assembly Center,#003087,#cb333b,32.5321,-92.6585,362,8000,2098
Miami (FL),Hurricanes,Watsco Center,#c41230,#ffffff,25.7153,-80.2794,362,7972,5294
Detroit Mercy,Titans,Calihan Hall,#165b9e,#d31733,42.4143,-83.1359,362,7917,1477
Omaha,Mavericks,Baxter Arena,#e3193e,#474648,41.2361,-96.013,362,7898,2872
Western Carolina,Catamounts,Liston B. Ramsey Regional Activity Center,#492F91,#bf9e70,35.31,-83.199,362,7826,1774
Rhode Island,Rams,Ryan Center,#091f3f,#5ab3e8,41.4878,-71.5358,362,7657,3849
Virginia Commonwealth,Cavaliers,Siegel Center,#ffaf00,#000000,37.5529,-77.4528,362,7637,7614
UNC Greensboro,Spartans,First Horizon Coliseum,#003559,#ffd90a,36.0684,-79.8106,362,7613,1003
UC Davis,Aggies,University Credit Union Center,#002855,#c3c4c6,38.5338,-121.7908,362,7600,1420
Georgia State,Panthers,Georgia State Convocation Center,#0039a6,#ffffff,33.7425,-84.3887,362,7500,1927
Southeastern Louisiana,Lions,University Center,#00654c,#eeb111,30.5202,-90.4731,362,7500,418
Southern,Jaguars,F. G. Clark Activity Center,#004B97,#ffc82d,30.5258,-91.1949,362,7500,4269
Grambling,Tigers,Fredrick C. Hobdy Assembly Center,#ee8601,#ffd10a,32.5195,-92.7212,362,7500,1606
Utah Valley,Wolverines,UCCU Center,#004812,#e1c736,40.2789,-111.7185,362,7500,1908
Baylor,Bears,Foster Pavilion,#154734,#ffb81c,31.5564,-97.1212,362,7500,6912
Alabama State,Hornets,Dunn–Oliver Acadome,#e9a900,#0a0a0a,32.3618,-86.2932,362,7400,1110
Southeast Missouri State,Bears,Show Me Center,#c8102e,#000000,37.3201,-89.5274,362,7373,2132
Western Kentucky,Hilltoppers,E. A. Diddle Arena,#e13a3e,#ffffff,36.9845,-86.4576,362,7326,3376
Montana,Grizzlies,Dahlberg Arena,#751D4A,#666666,46.8542,-113.9655,362,7321,2974
Toledo,Rockets,Savage Arena,#0b2240,#ffcd00,41.6601,-83.61,362,7300,4447
Montana State,Bobcats,Brick Breeden Fieldhouse,#00205c,#bc955c,45.6634,-111.0506,362,7250,3187
Stanford,Cardinal,Maples Pavilion,#8c1515,#ffffff,37.4295,-122.1606,362,7233,3899
Stephen F. Austin,Lumberjacks,William R. Johnson Coliseum,#393996,#bec0c2,31.6223,-94.6409,362,7203,2616
Richmond,Spiders,Robins Center,#9e0712,#b90b2e,37.5807,-77.5389,362,7201,4724
Hampton,Pirates,Hampton Convocation Center,#0067AC,##0067AC,37.021,-76.3386,362,7200,1425
Houston,Cougars,Fertitta Center,#c8102e,#ffffff,29.7247,-95.347,362,7100,7088
Louisiana–Monroe,Ragin' Cajuns,Fant–Ewing Coliseum,#840029,#fdb913,32.5318,-92.0658,362,7085,1620
Northwestern,Wildcats,Welsh–Ryan Arena,#492f92,#ffffff,42.0669,-87.6924,362,7039,5454
Northern Iowa,Panthers,McLeod Center,#473282,#ffffff,42.5144,-92.4673,362,7018,1516
SMU,Mustangs,Moody Coliseum,#a80000,#0033a1,32.8404,-96.7807,362,7000,5413
Grand Canyon,Antelopes,Global Credit Union Arena,#522398,#ffffff,33.5132,-112.1272,362,7000,7096
UT Arlington,Mavericks,College Park Center,#004b7c,#f58024,32.7305,-97.1081,362,7000,1364
Alcorn State,Braves,Davey Whitney Complex,#4b0058,#46166a,31.8204,-91.0501,362,7000,665
Chicago State,Cougars,Emil and Patricia Jones Convocation Center,#006700,##006700,41.7913,-87.6008,362,7000,552
UIC,Flames,Credit Union 1 Arena,#001e62,#d50032,41.8747,-87.6561,362,6958,1621
Princeton,Tigers,Jadwin Gymnasium,#000000,#ff6000,40.3434,-74.6486,362,6854,2116
Buffalo,Bulls,Alumni Arena,#005bbb,#ffffff,43.0019,-78.7852,362,6783,2058
