Rank,Institution,Conference,Accum Attendance,Avg Attendance,Stadium Capacity,Pct Capacity,Games
132,Western Ky.,CUSA,"54,011","3,376","7,523",44.87,16
133,Liberty,CUSA,"53,825","3,364","4,000",84.1,16
134,Chattanooga,SoCon,"52,767","3,518","10,995",31.99,15
135,California Baptist,WAC,"51,481","3,432","5,050",67.96,15
136,Oregon St.,WCC,"51,409","3,024","9,301",32.51,17
137,Southern U.,SWAC,"51,223","4,269","7,500",56.91,12
138,James Madison,Sun Belt,"51,185","3,412","8,500",40.15,15
139,Massachusetts,MAC,"50,625","3,164","9,493",33.33,16
140,Montana,Big Sky,"50,559","2,974","7,322",40.62,17
141,Washington St.,WCC,"49,975","3,332","11,671",28.55,15
142,Davidson,Atlantic 10,"49,931","2,774","4,300",64.51,18
143,Oral Roberts,Summit League,"49,405","3,294","8,781",37.51,15
144,William & Mary,CAA,"48,393","3,723","8,600",43.29,13
145,Fla. Atlantic,American,"47,415","3,161","2,980",106.07,15
146,Temple,American,"45,966","2,873","10,206",28.15,16
147,McNeese,Southland,"45,725","3,266","4,424",73.83,14
148,Charlotte,American,"45,358","2,668","9,105",29.3,17
149,St. Thomas (MN),Summit League,"42,908","2,861","5,400",52.97,15
150,Kent St.,MAC,"42,471","2,498","5,885",42.45,17
151,Loyola Chicago,Atlantic 10,"42,048","2,628","4,557",57.67,16
152,Weber St.,Big Sky,"41,899","2,619","11,500",22.77,16
153,SFA,Southland,"41,863","2,616","7,203",36.32,16
154,Montana St.,Big Sky,"41,428","3,187","7,200",44.26,13
155,Duquesne,Atlantic 10,"40,673","2,260","4,242",53.27,18
156,Omaha,Summit League,"40,212","2,872","7,898",36.37,14
157,Alabama A&M,SWAC,"39,839","2,343","6,000",39.06,17
158,UC Santa Barbara,Big West,"39,793","2,653","4,000",66.32,15
159,Ball St.,MAC,"39,159","2,797","11,500",24.32,14
160,Bowling Green,MAC,"38,943","2,291","4,280",53.52,17
161,Louisiana,Sun Belt,"38,880","2,592","12,362",20.97,15
162,Sacramento St.,Big Sky,"38,605","2,758","3,000",91.92,14
163,Troy,Sun Belt,"37,932","2,918","5,200",56.11,13
164,UC Irvine,Big West,"37,612","2,212","5,000",44.25,17
165,UC San Diego,Big West,"37,516","2,501","4,000",62.53,15
166,South Dakota St.,Summit League,"36,507","2,808","5,000",56.16,13
167,George Washington,Atlantic 10,"36,345","2,272","4,057",55.99,16
168,Southern Miss.,Sun Belt,"36,014","2,770","8,095",34.22,13
169,Missouri St.,CUSA,"35,781","1,988","11,000",18.07,18
170,Northern Ky.,Horizon,"35,680","2,099","8,427",24.91,17
171,Louisiana Tech,CUSA,"35,669","2,098","8,000",26.23,17
172,San Jose St.,Mountain West,"34,288","2,143","5,000",42.86,16
173,Saint Joseph's,Atlantic 10,"34,281","2,143","3,800",56.38,16
174,Towson,CAA,"34,253","2,447","5,200",47.05,14
175,Furman,SoCon,"33,997","2,125","2,500",84.99,16
176,Vermont,America East,"33,829","2,114","3,266",64.74,16
177,Fairfield,MAAC,"32,262","2,016","3,500",57.61,16
178,Akron,MAC,"32,216","2,148","5,500",39.05,15
179,Southeast Mo. St.,OVC,"31,982","2,132","7,000",30.46,15
180,Seattle U,WCC,"31,823","1,768","8,000",22.1,18
181,Lamar University,Southland,"31,377","2,092","10,080",20.75,15
182,Buffalo,MAC,"30,869","2,058","6,783",30.34,15
183,Utah Valley,WAC,"30,535","1,908","6,508",29.32,16
184,Youngstown St.,Horizon,"30,522","2,035","4,300",47.32,15
185,North Ala.,ASUN,"30,494","2,346","3,000",78.19,13
186,Belmont,MVC,"30,199","2,013","5,000",40.27,15
187,Texas St.,Sun Belt,"30,036","1,767","10,000",17.67,17
188,Longwood,Big South,"29,679","1,979","3,000",65.95,15
189,Oakland,Horizon,"29,567","2,274","4,000",56.86,13
190,App State,Sun Belt,"29,338","1,956","8,325",23.49,15
191,South Alabama,Sun Belt,"29,323","2,095","10,000",20.95,14
192,San Francisco,WCC,"29,058","1,937","3,006",64.44,15
193,Eastern Mich.,MAC,"28,817","2,058","8,784",23.43,14
194,Stony Brook,CAA,"28,798","1,800","4,009",44.9,16
195,Green Bay,Horizon,"28,772","2,055","9,729",21.12,14
196,FGCU,ASUN,"28,636","1,684","4,333",38.88,17
197,Norfolk St.,MEAC,"28,634","2,203","4,500",48.95,13
198,Milwaukee,Horizon,"28,518","2,037","10,783",18.89,14
199,Delaware,CUSA,"28,345","1,890","5,000",37.79,15
200,Austin Peay,ASUN,"28,242","2,172","5,041",43.1,13
201,Utah Tech,WAC,"28,219","2,016","4,779",42.18,14
202,Kennesaw St.,CUSA,"28,166","1,760","3,805",46.26,16
203,North Dakota,Summit League,"28,058","1,754","3,064",57.23,16
204,Navy,Patriot,"27,937","1,643","5,710",28.78,17
205,North Dakota St.,Summit League,"27,728","1,981","5,460",36.27,14
206,Santa Clara,WCC,"27,562","1,837","4,500",40.83,15
207,Mount St. Mary's,MAAC,"27,196","2,092","2,821",74.16,13
208,Iona,MAAC,"27,010","1,929","2,578",74.84,14
209,Georgia St.,Sun Belt,"26,971","1,927","7,500",25.69,14
210,SIUE,OVC,"26,569","1,771","4,000",44.28,15
211,Ga. Southern,Sun Belt,"26,468","1,891","5,500",34.37,14
212,Cal Poly,Big West,"26,406","1,886","3,032",62.21,14
213,Cleveland St.,Horizon,"26,296","1,753","13,610",12.88,15
214,Idaho,Big Sky,"26,274","2,021","4,200",48.12,13
215,South Dakota,Summit League,"26,121","1,537","6,000",25.61,17
216,Penn,Ivy League,"26,043","1,860",0,Inf,14
217,Tarleton St.,WAC,"25,844","1,615","8,000",20.19,16
218,VMI,SoCon,"25,809","1,844","5,029",36.66,14
219,Central Mich.,MAC,"25,700","1,977","5,300",37.3,13
220,Princeton,Ivy League,"25,387","2,116","6,854",30.87,12
221,Coastal Carolina,Sun Belt,"25,100","1,931","3,212",60.11,13
222,Air Force,Mountain West,"24,896","1,383","5,508",25.11,18
223,UMBC,America East,"24,855","1,462","6,000",24.37,17
224,Western Mich.,MAC,"24,775","1,652","5,421",30.47,15
225,Valparaiso,MVC,"24,487","1,440","5,000",28.81,17
226,Robert Morris,Horizon,"24,467","1,439","4,000",35.98,17
227,Purdue Fort Wayne,Horizon,"24,442","1,629","13,000",12.53,15
228,Marist,MAAC,"24,391","1,626","3,200",50.81,15
229,Elon,CAA,"24,167","1,510","5,100",29.62,16
230,Monmouth,CAA,"24,152","1,725","4,100",42.08,14
231,Binghamton,America East,"24,096","1,606","5,142",31.24,15
232,Portland,WCC,"24,066","1,337","4,852",27.56,18
233,Hofstra,CAA,"23,853","1,988","3,433",57.9,12
234,Tulane,American,"23,581","1,310","3,600",36.39,18
235,UT Martin,OVC,"23,546","1,570","4,300",36.51,15
236,N.C. A&T,CAA,"23,099","1,925","5,700",33.77,12
237,Western Caro.,SoCon,"23,058","1,774","7,826",22.66,13
238,UC Davis,Big West,"22,718","1,420","6,003",23.65,16
239,Long Beach St.,Big West,"22,698","1,419","4,200",33.78,16
240,UIC,MVC,"22,697","1,621","8,000",20.27,14
241,ULM,Sun Belt,"22,676","1,620","7,000",23.14,14
242,Fordham,Atlantic 10,"22,622","1,257","3,200",39.27,18
243,Jacksonville St.,CUSA,"22,017","1,295","5,500",23.55,17
244,Winthrop,Big South,"22,006","1,572","6,100",25.77,14
245,Wofford,SoCon,"21,982","1,465","3,400",43.1,15
246,UAlbany,America East,"21,889","1,990","3,767",52.82,11
247,San Diego,WCC,"21,774","1,281","5,100",25.11,17
248,Eastern Ky.,ASUN,"21,510","1,434","4,692",30.56,15
249,Campbell,CAA,"21,394","1,528","3,095",49.37,14
250,Quinnipiac,MAAC,"21,359","1,424","3,254",43.76,15
251,Northern Colo.,Big Sky,"21,228","1,516","2,500",60.65,14
252,Howard,MEAC,"21,160","1,411","2,700",52.25,15
253,A&M-Corpus Christi,Southland,"20,957","1,397","8,400",16.63,15
254,Army West Point,Patriot,"20,689","1,293","5,043",25.64,16
255,Detroit Mercy,Horizon,"20,678","1,477","8,295",17.81,14
256,Samford,SoCon,"20,642","1,474","5,000",29.49,14
257,Radford,Big South,"20,574","1,210","3,200",37.82,17
258,Pacific,WCC,"20,453","1,461","6,150",23.75,14
259,La Salle,Atlantic 10,"20,301","1,562","4,000",39.04,13
260,Bellarmine,ASUN,"20,289","1,449","2,196",65.99,14
261,Eastern Wash.,Big Sky,"20,273","1,689","5,000",33.79,12
262,Rice,American,"20,220","1,264","5,750",21.98,16
263,Little Rock,OVC,"19,978","1,537","5,600",27.44,13
264,The Citadel,SoCon,"19,919","1,328","6,000",22.13,15
265,UTRGV,Southland,"19,297","1,286","2,500",51.46,15
266,Grambling,SWAC,"19,275","1,606","7,500",21.42,12
267,Ark.-Pine Bluff,SWAC,"19,164","1,742","4,500",38.72,11
268,Lafayette,Patriot,"19,146","1,197","2,644",45.26,16
269,Morgan St.,MEAC,"18,881","1,259","4,500",27.97,15
270,North Florida,ASUN,"18,864","1,451","5,800",25.02,13
271,Drexel,CAA,"18,759","1,172","2,509",46.73,16
272,Sam Houston,CUSA,"18,614","1,330","6,110",21.76,14
273,N.C. Central,MEAC,"18,583","1,429","3,056",46.78,13
274,Merrimack,MAAC,"18,402","1,673","2,549",65.63,11
275,American,Patriot,"18,322","1,078","2,963",36.37,17
276,Lehigh,Patriot,"18,233","1,073","5,600",19.15,17
277,Idaho St.,Big Sky,"18,113","1,294","3,241",39.92,14
278,UT Arlington,WAC,"17,731","1,364","7,000",19.48,13
279,Columbia,Ivy League,"17,415","1,244","2,700",46.07,14
280,Texas Southern,SWAC,"17,153","1,225","8,100",15.13,14
281,Hampton,CAA,"17,105","1,425","7,200",19.8,12
282,LMU (CA),WCC,"16,912",940,"4,156",22.61,18
283,Eastern Ill.,OVC,"16,903","1,127","4,500",25.04,15
284,Holy Cross,Patriot,"16,836","1,203","3,536",34.01,14
285,Morehead St.,OVC,"16,804","1,293","6,500",19.89,13
286,Yale,Ivy League,"16,760","1,289","2,532",50.92,13
287,Lipscomb,ASUN,"16,617","1,187","5,028",23.61,14
288,Central Ark.,ASUN,"16,542","1,103","5,500",20.05,15
289,Southern Ind.,OVC,"16,419","1,263","4,800",26.31,13
290,UNC Asheville,Big South,"15,895",993,"3,200",31.04,16
291,Central Conn. St.,NEC,"15,761","1,126","2,654",42.42,14
292,Portland St.,Big Sky,"15,630","1,116","3,091",36.12,14
293,Abilene Christian,WAC,"15,472","1,105","3,600",30.7,14
294,Mercer,SoCon,"15,193","1,013","3,200",31.65,15
295,Bucknell,Patriot,"15,134","1,081","4,000",27.03,14
296,Harvard,Ivy League,"14,988","1,249","1,636",76.34,12
297,IU Indy,Horizon,"14,827","1,059","6,800",15.57,14
298,NIU,MAC,"14,674","1,129","9,100",12.4,13
299,Denver,Summit League,"14,275","1,020","2,400",42.49,14
300,Rider,MAAC,"14,184","1,091","1,650",66.13,13
301,Maine,America East,"14,134","1,178","6,674",17.65,12
302,UNC Greensboro,SoCon,"14,036","1,003",0,Inf,14
303,Lindenwood,OVC,"13,934",995,"3,000",33.18,14
304,Florida A&M,SWAC,"13,898","1,158","9,000",12.87,12
305,UMES,MEAC,"13,839","1,384","5,500",25.16,10
306,Tennessee Tech,OVC,"13,727",981,"7,500",13.07,14
307,Cornell,Ivy League,"13,667","1,242","3,500",35.5,11
308,Southern Utah,WAC,"13,268","1,021","5,300",19.26,13
309,Boston U.,Patriot,"12,999",867,"1,800",48.14,15
310,Northeastern,CAA,"12,952","1,079",912,118.35,12
311,UTSA,American,"12,624",902,"2,650",34.03,14
312,Sacred Heart,MAAC,"12,248",942,"2,067",45.58,13
313,Dartmouth,Ivy League,"12,210",939,"2,100",44.73,13
314,Manhattan,MAAC,"12,123",866,"2,520",34.36,14
315,CSUN,Big West,"12,083",806,"2,200",36.62,15
316,West Ga.,ASUN,"11,833",789,"6,250",12.62,15
317,FIU,CUSA,"11,759",653,"5,000",13.07,18
318,Pepperdine,WCC,"11,413",671,"3,104",21.63,17
319,Niagara,MAAC,"11,203",862,"2,100",41.04,13
320,Canisius,MAAC,"11,160",744,"2,196",33.88,15
321,Loyola Maryland,Patriot,"11,029",788,"2,100",37.51,14
322,Jackson St.,SWAC,"10,688","1,069","8,000",13.36,10
323,Charleston So.,Big South,"10,676",763,881,86.56,14
324,Stetson,ASUN,"10,337",738,"4,000",18.46,14
325,Prairie View,SWAC,"10,279",791,"5,000",15.81,13
326,Cal St. Fullerton,Big West,"10,158",726,"4,000",18.14,14
327,Alabama St.,SWAC,"9,987","1,110","7,400",15,9
328,Houston Christian,Southland,"9,900",707,"1,000",70.71,14
329,Colgate,Patriot,"9,836",703,"1,750",40.15,14
330,Kansas City,Summit League,"9,827",702,"1,500",46.8,14
331,Northern Ariz.,Big Sky,"9,429",589,"5,000",11.79,16
332,Bethune-Cookman,SWAC,"8,980",816,900,90.71,11
333,UMass Lowell,America East,"8,954",640,900,71.06,14
334,New Haven,NEC,"8,755",584,"1,000",58.37,15
335,Coppin St.,MEAC,"8,638",960,"4,100",23.41,9
336,Saint Francis,NEC,"8,620",663,"3,500",18.95,13
337,Jacksonville,ASUN,"8,511",709,"1,500",47.28,12
338,LIU,NEC,"8,416",561,150,374.04,15
339,NJIT,America East,"8,387",599,"3,500",17.12,14
340,Western Ill.,OVC,"8,343",556,"5,139",10.82,15
341,Saint Peter's,MAAC,"8,333",595,"3,200",18.6,14
342,Mercyhurst,NEC,"8,332",555,"1,800",30.86,15
343,Nicholls,Southland,"8,054",671,"3,800",17.66,12
344,Gardner-Webb,Big South,"7,937",611,"3,500",17.44,13
344,New Orleans,Southland,"7,937",722,"8,933",8.08,11
346,Wagner,NEC,"7,882",606,"2,100",28.87,13
347,East Texas A&M,Southland,"7,733",552,"2,000",27.62,14
348,Northwestern St.,Southland,"7,646",546,"3,600",15.17,14
349,Brown,Ivy League,"7,341",524,"2,800",18.73,14
350,CSU Bakersfield,Big West,"7,317",430,"3,497",12.31,17
351,Le Moyne,NEC,"7,285",560,"2,000",28.02,13
352,Queens (NC),ASUN,"7,064",505,"3,000",16.82,14
353,Presbyterian,Big South,"6,985",499,"2,500",19.96,14
354,FDU,NEC,"6,566",469,"1,852",25.32,14
355,Tennessee St.,OVC,"6,514",543,"9,100",5.97,12
356,Bryant,America East,"6,304",485,"2,000",24.25,13
357,Chicago St.,NEC,"6,074",552,"2,500",22.09,11
358,Alcorn,SWAC,"5,986",665,"7,000",9.5,9
359,USC Upstate,Big South,"5,540",369,833,44.34,15
360,UC Riverside,Big West,"5,461",390,"2,750",14.18,14
361,New Hampshire,America East,"5,391",415,"3,000",13.82,13
362,Southeastern La.,Southland,"5,020",418,"7,500",5.58,12
363,Delaware St.,MEAC,"4,699",392,"2,000",19.58,12
364,Mississippi Val.,SWAC,"4,464",406,"5,000",8.12,11
365,Stonehill,NEC,"4,215",324,"1,800",18.01,13
366,South Carolina St.,MEAC,"3,574",325,"3,200",10.15,11
367,UIW,Southland,"3,246",216,"2,000",10.82,15
